IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
198.41.207.253,4,4,0.00,127.47,0.00,N/A
198.41.203.180,4,4,0.00,134.48,0.00,N/A
198.41.206.166,4,4,0.00,137.41,0.00,N/A
198.41.219.47,4,4,0.00,139.76,0.00,N/A
198.41.219.193,4,4,0.00,144.41,0.00,N/A
198.41.217.11,4,4,0.00,144.67,0.00,N/A
198.41.219.2,4,4,0.00,146.51,0.00,N/A
198.41.206.180,4,4,0.00,149.81,0.00,N/A
198.41.204.16,4,4,0.00,153.78,0.00,N/A
198.41.203.81,4,4,0.00,172.02,0.00,N/A
198.41.205.53,4,4,0.00,174.71,0.00,N/A
162.159.2.142,4,4,0.00,180.28,0.00,N/A
162.159.20.230,4,4,0.00,181.24,0.00,N/A
198.41.208.153,4,4,0.00,181.78,0.00,N/A
66.225.252.170,4,4,0.00,182.97,0.00,N/A
89.47.56.215,4,4,0.00,184.36,0.00,N/A
170.114.52.103,4,4,0.00,185.18,0.00,N/A
162.159.233.200,4,4,0.00,185.26,0.00,N/A
162.159.151.192,4,4,0.00,185.42,0.00,N/A
185.193.31.76,4,4,0.00,185.79,0.00,N/A
162.159.129.39,4,4,0.00,185.80,0.00,N/A
162.159.149.31,4,4,0.00,185.90,0.00,N/A
162.159.157.47,4,4,0.00,186.04,0.00,N/A
66.45.118.156,4,4,0.00,186.09,0.00,N/A
162.159.91.154,4,4,0.00,186.12,0.00,N/A
203.29.54.147,4,4,0.00,186.37,0.00,N/A
162.159.137.99,4,4,0.00,186.73,0.00,N/A
193.22.229.230,4,4,0.00,186.97,0.00,N/A
31.12.75.194,4,4,0.00,187.03,0.00,N/A
162.159.51.79,4,4,0.00,187.03,0.00,N/A
162.159.144.50,4,4,0.00,187.43,0.00,N/A
198.41.211.51,4,4,0.00,187.49,0.00,N/A
162.159.130.246,4,4,0.00,188.14,0.00,N/A
216.198.54.97,4,4,0.00,188.28,0.00,N/A
162.159.11.94,4,4,0.00,188.59,0.00,N/A
162.159.45.161,4,4,0.00,188.60,0.00,N/A
194.39.112.65,4,4,0.00,188.76,0.00,N/A
155.46.167.117,4,4,0.00,189.17,0.00,N/A
198.177.57.186,4,4,0.00,189.52,0.00,N/A
156.252.2.76,4,4,0.00,189.86,0.00,N/A
162.159.158.112,4,4,0.00,189.97,0.00,N/A
162.159.94.66,4,4,0.00,190.05,0.00,N/A
162.120.94.0,4,4,0.00,190.05,0.00,N/A
203.30.188.172,4,4,0.00,190.44,0.00,N/A
198.41.218.172,4,4,0.00,190.50,0.00,N/A
162.159.136.4,4,4,0.00,190.59,0.00,N/A
192.236.26.234,4,4,0.00,190.77,0.00,N/A
198.41.222.64,4,4,0.00,190.86,0.00,N/A
154.83.2.50,4,4,0.00,190.86,0.00,N/A
45.131.208.179,4,4,0.00,190.96,0.00,N/A
209.46.30.167,4,4,0.00,191.02,0.00,N/A
5.226.181.132,4,4,0.00,191.17,0.00,N/A
